COUNTY,Area_m,Area_acres,Total_A_acres,Water_A_acres,Land_Area_Acres,P_Area,LowVeg_A_acres,Barren_A_acres,Shrub_A_acres,LC_Area,P_LC_Area
Allegany,115054502,28430.58644,270945.0293,735.3890733,270209.6402,10.52167732,39513.76797,1460.249481,254.9166292,41228.93408,15.25812848
Anne Arundel,180174673,44522.13104,264900.3511,1936.571049,262963.7801,16.93089863,63219.53482,1731.927268,840.9977124,65792.4598,25.01959006
Baltimore,355198713,87771.51295,383650.124,2734.724147,380915.3999,23.04225899,155267.2799,2596.484996,190.0524551,158053.8174,41.49315501
Baltimore City,38266532,9455.865931,52025.45102,374.7568085,51650.69421,18.3073356,10911.8939,366.2551478,17.05298945,11295.20204,21.86844187
Calvert,79220030,19575.69562,137129.4832,888.9667974,136240.5164,14.36848313,32977.90848,320.6997882,357.7416261,33656.34989,24.70362766
Caroline,78706398,19448.77439,204909.5656,1542.529148,203367.0365,9.563385851,119146.3195,652.3166921,493.509724,120292.1459,59.15026741
Carroll,197293958,48752.39846,287584.8731,993.003352,286591.8697,17.01108915,173095.3455,737.1956608,303.8919273,174136.4331,60.76112113
Cecil,156318101,38627.04375,223157.1371,2197.728571,220959.4085,17.4815112,106788.413,1704.547744,353.2030416,108846.1638,49.26070563
Charles,174019757,43001.21818,294594.6802,2697.459915,291897.2203,14.7316299,72477.60208,1480.965313,1137.483644,75096.05104,25.72688118
Dorchester,89256965,22055.87625,347126.1752,9551.88346,337574.2917,6.533636236,113259.8151,657.5328396,904.3224199,114821.6704,34.01374843
Frederick,260948788,64481.84942,424035.8524,1605.212617,422430.6398,15.26448211,211633.5412,2310.285566,596.3826594,214540.2094,50.78708531
Garrett,216988249,53618.96372,419967.1944,6090.750296,413876.4441,12.95530695,96853.34451,1645.413944,3302.975836,101801.7343,24.59713176
Harford,194306083,48014.07848,242683.596,1209.666091,241473.9299,19.88375246,108768.6689,1079.031361,380.0157052,110227.716,45.64787429
Howard,158627050,39197.59747,161168.0645,968.7623141,160199.3022,24.46802011,58595.56352,658.108101,158.1113665,59411.78299,37.0861684
Kent,82895775,20483.99198,179310.5954,3540.013897,175770.5815,11.65382273,115594.3887,334.8893205,40.51984617,115969.7979,65.97793378
Montgomery,314717229,77768.32046,317999.2654,2314.480922,315684.7845,24.63480164,123445.0252,1189.387388,497.8913966,125132.304,39.63837034
Prince George's,289754271,71599.83924,310290.7394,2723.55103,307567.1884,23.27941404,86064.45967,3995.486442,1634.896645,91694.84276,29.81294696
Queen Anne's,110232774,27239.11151,238059.0099,2991.429078,235067.5808,11.58777889,142327.9938,779.0614899,493.9369692,143600.9923,61.0892373
Somerset,33286617,8225.302143,204465.5123,5533.77971,198931.7326,4.134736091,53680.83888,512.4923594,75.94833306,54269.27957,27.28035335
St. Mary's,131644727,32530.12029,230233.8136,2520.119054,227713.6945,14.28553533,75005.27317,1146.21536,153.2406723,76304.7292,33.50906469
Talbot,56024738,13844.01417,172510.2118,3065.142096,169445.0697,8.170207722,98161.66792,443.4632241,92.37219221,98697.50334,58.24749195
Washington,256903353,63482.20067,292901.9607,2151.526043,290750.4347,21.83391428,131013.3819,1781.088636,515.8571934,133310.3277,45.8504311
Wicomico,206819545,51106.22226,240479.6162,3022.573499,237457.0427,21.52230217,91504.62721,648.7596102,149.3640831,92302.7509,38.87134694
Worcester,134544096,33246.56997,301760.8517,6759.220761,295001.6309,11.26996141,102373.3834,3173.292214,395.69553,105942.3711,35.91246964
