COUNTY,TC_ID,Total_A,Land_A,Can_A,Can_P_Land,Can_P_Total
Allegany,1,117787668,114851960,90878198,79.12637973,77.15425523
Garrett,12,172458311,147857825,114931164,77.73086342,66.64286768
Calvert,5,63789629,60245344,45857518,76.11794531,71.88867331
Charles,9,144238444,133723497,98452054,73.62360109,68.25645873
Anne Arundel,2,121439654,113925021,82750006,72.63549769,68.14084467
Montgomery,16,140347661,131771126,93170441,70.70626459,66.38546046
Howard,14,75047835,71155402,49985548,70.2484233,66.60491672
Harford,13,106407199,101622772,70797927,69.6673842,66.53490334
St. Mary's,20,114891846,104913682,71539488,68.18890219,62.26681047
Prince George's,17,138977878,130231668,86456512,66.38670404,62.2088301
Cecil,8,104058118,95551343,61322771,64.17782218,58.9312705
Caroline,6,97256077,91467540,56542052,61.81652201,58.1372946
Frederick,11,178320256,172147994,106188525,61.68443938,59.54933409
Queen Anne's,18,111533860,99794778,58711329,58.83206534,52.63991491
Baltimore,3,165408329,156331551,89871410,57.48769805,54.33306203
Carroll,7,113221258,109451091,61256343,55.96686377,54.10321708
Washington,22,135980519,127317047,70741949,55.56361121,52.02359097
Talbot,21,86906872,74918911,38835908,51.83725642,44.68680912
Kent,15,92234156,78396718,40118616,51.17384633,43.49648518
Worcester,24,193315965,167463483,83860865,50.07710547,43.3802066
Wicomico,23,154420886,142349208,67745024,47.59072773,43.87037645
Baltimore City,4,23975876,22481676,8139913,36.20687799,33.95043001
Dorchester,10,289539696,251806878,75765211,30.08861855,26.16746928
Somerset,19,177024317,158698050,41766414,26.31816459,23.59360268
