GenZone,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_Pchange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
COMMERCIAL,443576139,130077349,155098187,2745058,4101695,36283325,23589038,812610,796841,90072036,443576139,131495660,157390958,2762716,4113591,35312626,23620143,663879,806906,87409660,-1.078599096,-1.456736161,-0.639153644,-0.289187719,2.748872316,-0.131688449,22.40332952,-1.247357189,3.045860149
HIGH DENSITY RESIDENTIAL,234775431,73742255,59947746,999879,937550,35267101,27385613,205201,318922,35971164,234775431,76284153,58967695,785960,933849,34665580,27434917,241464,348467,35113346,-3.332144227,1.662013413,27.21754288,0.396316749,1.735211123,-0.17971259,-15.01797369,-8.478564685,2.44299703
INDUSTRIAL,1333830853,410635916,666885677,26505762,18620106,49498278,28960941,1746783,1650578,129326812,1333830853,414468507,675559706,23228286,18689065,47306886,29092691,1588531,1668342,122228839,-0.924700173,-1.283976667,14.10984866,-0.368980471,4.632289684,-0.452862886,9.962160008,-1.064769694,5.807118073
LOW DENSITY RESIDENTIAL,4918791888,2451977416,2079967119,20805429,25629749,85231218,53313316,11250808,71247148,119369685,4918791888,2463780593,2081761952,17607560,25306726,81469652,52768113,13155737,71365105,111576450,-0.479067699,-0.086217014,18.16190886,1.276431412,4.61713768,1.033205413,-14.47983492,-0.165286662,6.984659397
MEDIUM DENSITY RESIDENTIAL,1649554216,713807820,591803377,8145750,12083746,120673428,72598994,2219010,6330573,121891518,1649554216,728184791,588122698,6835571,11889677,117532808,72226718,2467143,6373327,115921483,-1.974357495,0.625835223,19.1670747,1.632247874,2.672121983,0.515426992,-10.05750376,-0.670827026,5.150067827
MIXED USE,445422615,175298694,127908982,8283723,7219718,34111269,18668416,822893,12030607,61078313,445422615,180960575,130279966,6788840,7138740,31658375,18179011,917314,12112992,57386802,-3.128792556,-1.819914506,22.01971176,1.134345837,7.748009808,2.692143153,-10.29320385,-0.680137492,6.432682902
OTHER,742641097,460577488,113374241,10777720,57740495,4265120,13967870,1613283,65995258,14329622,742641097,457338665,117189766,10801704,57743613,4170810,14029603,1601961,66060723,13704252,0.708189193,-3.25585171,-0.222039041,-0.005399731,2.261191471,-0.440019579,0.706758779,-0.099098219,4.563328228
RURAL HIGH DENSITY RESIDENTIAL,1261979745,660923952,532015135,8282143,11474147,12994282,9549480,3381998,2684867,20673741,1261979745,667902731,529772225,6254241,11520583,12445681,9531584,3186622,2692089,18673989,-1.044879542,0.423372516,32.42443008,-0.403069879,4.407962891,0.187754732,6.131131964,-0.268267505,10.70875644
RURAL LOW DENSITY RESIDENTIAL,4944091859,2136061699,2177324682,11249637,159630370,19340377,31477795,10025768,354804434,44177097,4944091859,2141214672,2180583528,9220182,158548440,17834353,31343279,9832831,355087742,40426832,-0.240656533,-0.149448345,22.01100803,0.682397127,8.444511556,0.429170158,1.962171423,-0.079785351,9.276672978
RURAL MEDIUM DENSITY RES,1627871138,1267809425,323232888,5576405,8188457,5484754,4767038,1981880,1742833,9087458,1627871138,1269089547,322150167,6094221,8142532,5120539,4760643,2243157,1745867,8524465,-0.10086932,0.336092019,-8.496836593,0.564013749,7.112825427,0.134330594,-11.64773576,-0.173781852,6.604437932
VERY LOW DENSITY RESIDENTIAL,7144736495,3901871883,2692044465,22215750,93965464,55633489,58272169,19195615,213345881,88191779,7144736495,3896892059,2711142929,17417404,92876844,52310315,57907549,20922218,213540688,81726489,0.127789631,-0.704443274,27.54914567,1.172111318,6.352808237,0.629658838,-8.252485468,-0.091227111,7.910886763
