DESCLU,TC_ID,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,Can_PChange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
 ,1,1342772357,635701603,231046164,5362598,80127596,4408508,303627323,1880387,13956565,66661613,1342772357,625736780,235112936,5706236,80186893,4531591,304938738,1909757,13946832,70702594,-1.56753152,1.760155602,6.408050725,0.074003219,2.791942308,0.431916004,1.561912521,-0.06973779,6.061931025
Agricultural,2,11669775839,5031822260,6231512965,19146873,64397707,33280271,14348777,22872741,184641298,67752947,11669775839,5042997013,6202672994,27471561,66252223,36327070,14297413,21647264,184336677,73773624,0.222081632,-0.462808489,43.47805514,2.879785766,9.154970523,-0.357967791,-5.357805608,-0.164979884,8.886221584
Apartments,3,92088865,30143350,24670901,391621,315684,14455685,4613602,199662,78801,17219559,92088865,28718693,24933300,356970,321486,15006332,4651966,148296,78758,17873064,-4.726272959,1.06359715,-8.84809548,1.837913863,3.809207243,0.831541169,-25.72647775,-0.054567835,3.795132036
Commercial,4,810513762,316491909,256516162,13969722,8621787,52118970,11891716,3962548,5895006,141045942,810513762,311258732,253773929,14095707,8699434,54220815,11893414,3408389,5812939,147350403,-1.653494719,-1.069029327,0.901843287,0.900590562,4.032783073,0.014278848,-13.98491577,-1.392144469,4.469792545
Commercial / Residentia,5,35478221,15275448,15536728,242460,149573,1199109,244238,209134,77871,2543660,35478221,15161017,15378288,340536,159209,1237088,239975,101399,77036,2783673,-0.749117145,-1.019777137,40.45038357,6.442339192,3.167268363,-1.745428639,-51.51481825,-1.072286217,9.435734336
Commercial Condominium,6,13052523,2254374,2396039,413391,158416,2823396,358622,5679,25954,4616652,13052523,2193540,1932303,327413,158393,2850195,317760,4430,25954,5242535,-2.698487474,-19.35427595,-20.79822734,-0.014518735,0.949176099,-11.39416991,-21.99330868,0,13.55707556
Country Club,7,64268874,20933834,36599338,486990,2145905,289270,156854,153475,1685247,1817961,64268874,20529449,36906174,475351,2164109,294155,154874,151597,1679819,1913346,-1.931729276,0.838364891,-2.389987474,0.848313416,1.688733709,-1.262320374,-1.223652061,-0.322089284,5.246812225
Exempt,8,2273347826,1611134693,333273479,4897853,54426661,9459984,7742013,6143080,220369145,25900918,2273347826,1611752762,330086450,5481294,54723139,9966685,7720746,5453986,220283146,27879618,0.038362342,-0.956280413,11.91217866,0.544729356,5.356256417,-0.274696,-11.21740235,-0.039024973,7.639497565
Exempt Commercial,9,1561084449,834440603,370263866,17861128,90707032,33496779,13214015,5104641,97673751,98322634,1561084449,832618364,366944269,18135791,90871263,34108502,13238251,5349331,97566021,102252657,-0.218378515,-0.896549003,1.537769619,0.181056525,1.826214395,0.183411325,4.793481069,-0.110295754,3.997068467
Industrial,10,399311359,139637601,106540931,20199134,10357434,34937869,3934703,1149430,1725062,80829195,399311359,134990093,101258701,23827658,10192586,36437643,3881009,905970,1712933,86104766,-3.328263997,-4.957934899,17.96376023,-1.591591122,4.29268883,-1.364626504,-21.18093316,-0.703105164,6.526813734
Marsh Land,11,149670853,12707828,1677720,228657,21816023,10505,27057,243281,112905203,54579,149670853,12601769,1776985,234105,21815817,10312,27046,242698,112902245,59876,-0.83459581,5.916660706,2.382608011,-0.00094426,-1.837220371,-0.040654914,-0.23964058,-0.002619897,9.70519797
Residential / Commercia,14,6014183,3778221,1715315,113674,37811,126750,37006,2227,11238,191941,6014183,3752376,1712534,107172,37798,127789,35239,1744,11236,228295,-0.684052098,-0.162127656,-5.719865581,-0.034381529,0.819723866,-4.774901367,-21.68837,-0.017796761,18.94019516
Residential Condominium,15,29668322,8960478,6919780,272632,160267,6290395,1644156,27708,206899,5186007,29668322,8766431,6826151,195655,159240,6521345,1649170,27085,206651,5316594,-2.165587595,-1.353063248,-28.23476334,-0.640805656,3.671470552,0.304958897,-2.248448102,-0.119865248,2.518064476
Town House,16,41819953,12279983,12980416,1053995,153245,9381497,626016,131651,3209,5209941,41819953,10594156,12498302,1392354,161967,10399130,783630,127570,3194,5859650,-13.7282519,-3.714164477,32.10252421,5.691539691,10.84723472,25.17731176,-3.099862515,-0.467435338,12.47056349
Residential,12,6406731598,3813102439,1969465402,24016947,34044880,240650432,22574929,15190564,94130178,193555827,6406731598,3775420159,1981247216,27882453,34459378,249916398,23076565,14185866,93903256,206640307,-0.988231515,0.598223964,16.09490998,1.217504659,3.850384112,2.222093367,-6.613961141,-0.241072528,6.760054814
