COUNTY,Area_m,Area_acres,Total_A_acres,Water_A_acres,Land_Area_Acres,P_Area
Allegany,115054502,28430.58644,270945.0293,735.3890733,270209.6402,10.52167732
Anne Arundel,180174673,44522.13104,264900.3511,1936.571049,262963.7801,16.93089863
Baltimore,355198713,87771.51295,383650.124,2734.724147,380915.3999,23.04225899
Baltimore City,38266532,9455.865931,52025.45102,374.7568085,51650.69421,18.3073356
Calvert,79220030,19575.69562,137129.4832,888.9667974,136240.5164,14.36848313
Caroline,78706398,19448.77439,204909.5656,1542.529148,203367.0365,9.563385851
Carroll,197293958,48752.39846,287584.8731,993.003352,286591.8697,17.01108915
Cecil,156318101,38627.04375,223157.1371,2197.728571,220959.4085,17.4815112
Charles,174019757,43001.21818,294594.6802,2697.459915,291897.2203,14.7316299
Dorchester,89256965,22055.87625,347126.1752,9551.88346,337574.2917,6.533636236
Frederick,260948788,64481.84942,424035.8524,1605.212617,422430.6398,15.26448211
Garrett,216988249,53618.96372,419967.1944,6090.750296,413876.4441,12.95530695
Harford,194306083,48014.07848,242683.596,1209.666091,241473.9299,19.88375246
Howard,158627050,39197.59747,161168.0645,968.7623141,160199.3022,24.46802011
Kent,82895775,20483.99198,179310.5954,3540.013897,175770.5815,11.65382273
Montgomery,314717229,77768.32046,317999.2654,2314.480922,315684.7845,24.63480164
Prince George's,289754271,71599.83924,310290.7394,2723.55103,307567.1884,23.27941404
Queen Anne's,110232774,27239.11151,238059.0099,2991.429078,235067.5808,11.58777889
Somerset,33286617,8225.302143,204465.5123,5533.77971,198931.7326,4.134736091
St. Mary's,131644727,32530.12029,230233.8136,2520.119054,227713.6945,14.28553533
Talbot,56024738,13844.01417,172510.2118,3065.142096,169445.0697,8.170207722
Washington,256903353,63482.20067,292901.9607,2151.526043,290750.4347,21.83391428
Wicomico,206819545,51106.22226,240479.6162,3022.573499,237457.0427,21.52230217
Worcester,134544096,33246.56997,301760.8517,6759.220761,295001.6309,11.26996141
